perkFortitudeMasteryDesc,progression,perk For,,,Master Fortitude Skills,,Meisterhafte Fertigkeiten der Standhaftigkeit,Domina las habilidades de fortaleza.,Maîtrisez les compétences de courage.,Padroneggia le abilità di resilienza,忍耐スキルをマスターします,불굴의 정신 스킬 마스터,Umiejętności mistrzostwa hartu,Domine as habilidades de Robustez.,Освойте навыки стойкости,Uzman Dayanma Becerileri,强健技能大师,精通所有堅韌技能
perkSiphoningStrikesRank2LongDesc,progression,perk For,,,Pain means nothing when you're too busy dishing it out.\nMelee kills grant 4 HP.,,"Schmerz ist egal, wenn du zu beschäftigt bist, ihn zu verursachen.\nNahkampftötungen gewähren 4 GP.",El dolor no significa nada cuando estás demasiado ocupado repartiéndolo.\nLas muertes por ataques cuerpo a cuerpo otorgan 4 PS.,La douleur n'a pas d'importance quand c'est vous qui l'infligez.\nLes éliminations en mêlée octroient 4 PV.,Il dolore perde significato quando si è troppo impegnati a causarlo agli altri.\nLe uccisioni corpo a corpo forniscono 4 PS.,苦痛を与えるのに忙しいため、痛みなど感じません。\n近接攻撃で敵を殺すたびに体力が4回復します。,"느낄 겨를이 없다면, 고통은 아무 의미도 없습니다.\n근접 처치 시 4 HP를 받습니다.","Ból nic nie znaczy, gdy to ty go zadajesz.\nZabójstwa w walce w zwarciu dają 4 PŻ.",A dor não significa nada durante a luta.\nAbates corpo a corpo dão 4 de PV.,"Боль ничего не значит, когда вы вошли в раж.\nУбийства в ближнем бою дают 4 ОЖ.","Acı, herkesi dayak manyağı yapmakla meşgulken pek hissedilmiyor.\nYakın dövüş öldürmeleri 4 SP kazandırır.",尽情攻击时，无暇顾及痛苦。\n近战击杀恢复 4 点生命值。,當你專注於殺戮時，疼痛就不再重要。\n近戰擊殺恢復 4 點生命值。
perkSiphoningStrikesRank3Desc,progression,perk For,,,Carnage Fuel,,Blutspende,Combustible de matanza,Carburant de carnage,Carneficina energizzante,殺戮の燃料,학살의 연료,Rzeźnicze paliwo,Combustível de Carnificina,Топливо бойни,Katliam Körüğü,杀戮燃料,屠戮燃料
perkSiphoningStrikesRank3LongDesc,progression,perk For,,,Every enemy that falls makes you stronger.\nMelee kills grant 6 HP.,,Jeder gefallene Feind stärkt dich.\nNahkampftötungen gewähren 6 GP.,Cada enemigo que cae te hace más fuerte.\nLas muertes por ataques cuerpo a cuerpo otorgan 6 PS.,Chaque ennemi qui tombe vous rend plus coriace.\nLes éliminations en mêlée octroient 6 PV.,Ogni nemico eliminato ti rende più forte.\nLe uccisioni corpo a corpo forniscono 6 PS.,敵を倒すたびにあなたは強くなる。\n近接攻撃で敵を殺すたびに体力が6回復します。,적이 죽을 때마다 점점 강해집니다.\n근접 처치 시 6 HP를 받습니다.,W miarę pokonywania kolejnych wrogów twoja siła wzrasta.\nZabójstwa w walce w zwarciu dają 6 PŻ.,Cada inimigo abatido te deixa mais forte.\nAbates corpo a corpo dão 6 de PV.,Каждый павший враг делает вас сильнее.\nУбийства в ближнем бою дают 6 ОЖ.,"İndirdiğin her düşman, seni daha da güçlendirir.\nYakın dövüş öldürmeleri 6 SP kazandırır.",每一个倒下的敌人都会让你变得更强。\n近战击杀恢复 6 点生命值。,每個倒下的敵人都讓你變得更強。\n近戰擊殺恢復 6 點生命值。
perkSiphoningStrikesRank4Desc,progression,perk For,,,Bloodlust,,Blutdurst,Sed de sangre,Soif de sang,Sete di sangue,殺気,유혈 욕망,Zew krwi,Sede de Sangue,Жажда крови,Kana Susamış,嗜血,嗜血狂
perkSiphoningStrikesRank4LongDesc,progression,perk For,,,"When the blood starts flowing, you don't stop.\nMelee kills grant 8 HP.",,"Wenn das Blut fließt, gibt es kein Halten.\nNahkampftötungen gewähren 8 GP.","Una vez que la sangre comienza a fluir, no puedes detenerte.\nLas muertes por ataques cuerpo a cuerpo otorgan 8 PS.","Lorsque le sang se met à couler, impossible de vous arrêter.\nLes éliminations en mêlée octroient 8 PV.","Quando il sangue inizia a scorrere, è impossibile fermarsi.\nLe uccisioni corpo a corpo forniscono 8 PS.",血が流れ始めたら止まらない。\n近接攻撃で敵を殺すたびに体力が8回復します。,피가 흐르기 시작하면 멈출 수 없습니다.\n근접 처치 시 8 HP를 받습니다.,Krew nie przestaje płynąć.\nZabójstwa w walce w zwarciu dają 8 PŻ.,"Quando o sangue começa a correr, você não para.\nAbates corpo a corpo dão 8 de PV.","Вас не остановить, когда вы почуяли кровь.\nУбийства в ближнем бою дают 8 ОЖ.",Kan akmaya başladığında seni durdurmak imkânsız.\nYakın dövüş öldürmeleri 8 SP kazandırır.,当鲜血开始流淌，你就不会停止。\n近战击杀恢复 8 点生命值。,當鮮血開始流動，你就無法停手。\n近戰擊殺恢復 8 點生命值。
perkSiphoningStrikesRank5Desc,progression,perk For,,,Warrior's Feast,,Festmahl des Kriegers,Festín del guerrero,Festin du guerrier,Banchetto del guerriero,戦士の饗宴,전사의 만찬,Uczta wojownika,Festim do Guerreiro,Пир воина,Savaşçının Şöleni,战士盛宴,戰士盛宴
perkSiphoningStrikesRank5LongDesc,progression,perk For,,,"The battlefield is your feast, and the fallen are your meal.\nMelee kills grant 10 HP.",,Das Schlechtfeld ist dein Festmahl und die Gefallenen deine Mahlzeit.\nNahkampftötungen gewähren 10 GP.,"El campo de batalla es tu banquete, y los caídos son tu comida.\nLas muertes por ataques cuerpo a cuerpo otorgan 10 PS.","Le champ de bataille est votre festin, et les morts sont votre repas.\nLes éliminations en mêlée octroient 10 PV.",Il campo di battaglia è la tua tavola e i nemici sono il piatto principale.\nLe uccisioni corpo a corpo forniscono 10 PS.,戦場はあなたの饗宴であり、死者たちはあなたのご馳走です。\n近接攻撃で敵を殺すたびに体力が10回復します。,"전장은 만찬장이며, 쓰러진 적은 만찬입니다.\n근접 처치 시 10 HP를 받습니다.","Pole bitwy to twoja uczta, a polegli to twój posiłek.\nZabójstwa w walce w zwarciu dają 10 PŻ.",O campo de batalha é o seu festim e os caídos sua refeição.\nAbates corpo a corpo dão 10 de PV.,"Поле боя — ваш праздничный стол, а павшие — ваше коронное блюдо.\nУбийства в ближнем бою дают 10 ОЖ.","Savaş alanı senin için bir şölen, zayi olanlar da yemeğin.\nYakın dövüş öldürmeleri 10 SP kazandırır.",战场是你的盛宴，倒下的敌人是你的食物。\n近战击杀恢复 10 点生命值。,戰場是你的餐桌，倒下的敵人是你的盛宴。\n近戰擊殺恢復 10 點生命值。
perkSlowMetabolismDesc,progression,perk For,,,Specialize in gastrointestinal health to use less calories and gain more benefits from food. Use less oxygen while diving.,,"Spezialisiere dich auf die Gesundheit deines Magen-Darm-Trakts, um weniger Kalorien zu verbrauchen und mehr von Nahrung zu profitieren. Du verbrauchst beim Tauchen weniger Sauerstoff.",Especialízate en salud gastrointestinal para usar menos calorías y beneficiarte más con la comida. Usa menos oxígeno al nadar.,Apprenez à renforcer votre estomac pour dépenser moins de calories et mieux exploiter la nourriture. Dépensez moins d'oxygène lorsque vous plongez.,Specializzati nella salute gastrointestinale per utilizzare meno calorie e ottenere più benefici dal cibo. Usi meno ossigeno quando ti immergi.,胃腸の健康を促進してカロリーの消費を下げ、食料からの栄養摂取を高めます。潜水中の酸素消費量が減少します。,위장 건강이 좋아 칼로리를 덜 소모하며 음식에서 받는 혜택도 증가합니다. 잠수 시 산소를 덜 사용합니다.,"Zadbaj o przewód pokarmowy, aby potrzebować mniej kalorii do życia i zyskiwać więcej korzyści z jedzenia. W czasie nurkowania będziesz zużywać mniej tlenu.",Especialize-se em saúde gastrointestinal para diminuir o consumo de calorias e aproveitar melhor os alimentos. Usa menos oxigênio ao nadar.,"Специализируйтесь на здоровье желудочно-кишечного тракта, чтобы использовать меньше калорий, получать больше пользы от питания и дольше задерживать дыхание под водой.",Daha az kalori harcamak ve yiyeceklerden daha fazla fayda elde etmek için sindirim sistemi sağlığında uzmanlaş. Dalış yaparken daha az oksijen harca.,专注于胃肠道健康，减少卡路里摄入，从食物中获得更多营养。潜水时减少氧气消耗。,專注於胃腸道健康，減少熱量攝入，吸收食物的功效，潛水時減少耗氧量。
perkSlowMetabolismName,progression,perk For,,,Iron Gut,,Eiserner Magen,Tripa de hierro,Estomac d'acier,Stomaco di ferro,鉄の胃腸,철제 위장,Żelazne kiszki,Intestino de Ferro,Железные потроха,Demir Mideli,铁胃,鐵腸
perkSlowMetabolismRank1Desc,progression,perk For,,,Leaky Gut,,Durchlässiger Darm,Fugas en el intestino,Ventre fragile,Stomaco gocciolante,漏れやすい胃腸,구멍난 위장,Nieszczelne jelito,Intestino Vazante,Дырявые кишки,Geçirgen Bağırsak,漏胃,腸漏
perkSlowMetabolismRank1LongDesc,progression,perk For,,,Your stomach health isn't perfect but it's better than the average wastelander's. Reduce food and water loss from physical exertion by 5%.\nHold your breath for 84 seconds. Chance of Dysentery is reduced by 1%. Buffs from consumables last 10% longer.,,"Dein Magen ist nicht bei bester Gesundheit, aber für Ödlandverhältnisse überdurchschnittlich intakt. Verliere 5 % weniger Nahrung und Wasser durch physische Anstrengungen.\nHalte deinen Atem 84 Sekunden lang an. Verringert die Chance auf Ruhr um 1 %. Von Verbrauchsgütern gewährte Effekte dauern 10 % länger an.","La salud de tu estómago no es perfecta, pero es mejor que la de un merodeador promedio. Reduce la pérdida de comida y agua por esfuerzo físico en un 5 %.\nPuedes mantener la respiración durante 84 segundos. La posibilidad de disentería se reduce en un 1 %. Los potenciadores de los elementos consumibles duran un 10 % más.","Votre estomac n'est pas en parfaite santé, mais il est dans un meilleur état que ceux des habitants des terres désolées. Réduit la perte d'eau et de nourriture due à l'effort physique de 5 %.\nVous pouvez retenir votre souffle pendant 84 secondes. Les chances de dysenterie sont réduites de 1 %. Les buffs des consommables durent 10 % plus longtemps.",La salute del tuo stomaco non è perfetta ma è meglio di quella dell'abitante delle lande medio. Riduce la perdita da sforzo fisico di cibo e acqua del 5%.\nTrattieni il respiro per 84 secondi. Possibilità di dissenteria ridotta dell'1%. I buff provenienti dai consumabili durano il 10% in più.,あなたの胃腸の状態は完璧とは言えないけれど、一般的な荒地の住人に比べればマシでしょう。スタミナ回復時の食料と水分減少量5%軽減。\n潜水可能時間84秒。赤痢発症率1%減少。消費物によるバフ効果時間が10%上昇。,위장 상태가 완벽하지는 않아도 어지간한 사람보다는 낫습니다. 물과 음식 소모량이 5% 감소합니다.\n84초 동안 숨을 참을 수 있습니다. 이질에 걸릴 확률이 1% 감소합니다. 소모성 물자 버프가 10% 더 오래 지속됩니다.,"Twój brzuch mógłby być w lepszym stanie, ale większość mieszkańców pustkowi i tak ci go zazdrości. Głód i pragnienie narastają w czasie wysiłku fizycznego o 5% wolniej.\nWstrzymuj oddech na 84 sek. Ryzyko dyzenterii spada o 1%. Premie przedmiotów jednorazowych trwają o 10% dłużej.","A saúde do seu estômago não é perfeita, mas é melhor do que a de um habitante comum dos ermo. Reduz em 5% a perda de comida e de água por exaustão física.\nPrende a respiração por 84 segundos. Reduz em 1% a chance de disenteria. Os bônus de consumíveis duram 10% mais tempo.","Состояние вашего желудка не на высоте, но лучше, чем у среднестатистического жителя пустошей. Уменьшает потери пищи и воды при физических нагрузках на 5%.\nВы умеете задерживать дыхание на 84 секунды. Вероятность дизентерии снижена на 1%. Эффекты от потребляемых веществ длятся на 10% дольше.",Mide sağlığın çok iyi değil ancak çoğu çorak arazi sakinine göre iyi durumda. Fiziksel efor sırasında gıda ve su kaybını %5 azalt.\nNefesini 84 saniye boyunca tut. Dizanteri ihtimali %1 azalır. Tüketim öğelerinin sağladığı güçlendirmeler %10 daha uzun sürer.,你的肠胃健康并不能说完美，不过也比一般的幸存者要好。强体力活动时食物与水分流失减少 5%。\n能憋气 84 秒。患痢疾的几率降低 1%。消耗品的增益效果延长 10%。,你的腸胃不是很好，但比一般的荒原來客要好。減少 5% 因體力勞動而流失的食物和水。\n屏息可達 84 秒。減少 1% 患痢疾的機率。從消耗品中獲得增益的持續時間延長 10%。
perkSlowMetabolismRank2Desc,progression,perk For,,,Strong Constitution,,Gute Verfassung,Una constitución fuerte,Bonne constitution,Costituzione robusta,強固な体質,강한 체질,Dobre geny,Constituição Forte,Крепкий организм,Sağlam Bünye,铜牙铁胃,強健體格
perkSlowMetabolismRank2LongDesc,progression,perk For,,,You get away with eating a lot of things that would kill most people. Reduce food and water loss from physical exertion by 10%.\nHold your breath for 108 seconds. Chance of Dysentery is reduced by 2%. Buffs from consumables last 20% longer.,,"Du kannst dank deiner guten Verfassung viele Dinge essen, die andere töten würden. Verliere 10 % weniger Nahrung und Wasser durch physische Anstrengungen.\nHalte deinen Atem 108 Sekunden lang an. Verringert die Chance auf Ruhr um 2 %. Von Verbrauchsgütern gewährte Effekte dauern 20 % länger an.",Te sales con la tuya comiendo muchas cosas que matarían a la mayoría de la gente. Reduce la pérdida de comida y agua por esfuerzo físico en un 10 %.\nPuedes mantener la respiración durante 108 segundos. La posibilidad de disentería se reduce en un 2 %. Los potenciadores de los elementos consumibles duran un 20 % más.,Vous pouvez survivre à des aliments qui tueraient la plupart des gens. Réduit la perte d'eau et de nourriture due à l'effort physique de 10 %.\nVous pouvez retenir votre souffle pendant 108 secondes. Les chances de dysenterie sont réduites de 2 %. Les buffs des consommables durent 20 % plus longtemps.,Riesci a mangiare cose che ucciderebbero la maggior parte delle persone. Riduce la perdita da sforzo fisico di cibo e acqua del 10%.\nTrattieni il respiro per 108 secondi. Possibilità di dissenteria ridotta del 2%. I buff provenienti dai consumabili durano il 20% in più.,ほとんどの人にとって致死的なものであっても、死なずに食べることができます。スタミナ回復時の食料と水分減少量10%軽減。\n潜水可能時間108秒。赤痢発症率2%減少。消費物によるバフ効果時間が20%上昇。,보통 사람이면 죽었을 음식을 안전하게 먹을 수 있습니다. 물과 음식 소모량이 10% 감소합니다.\n108초간 숨을 참을 수 있습니다. 이질에 걸릴 확률이 2% 감소합니다. 소모성 물자 버프가 20% 더 오래 지속됩니다.,"Trawisz produkty, które kogoś innego raczej by zabiły. Głód i pragnienie narastają w czasie wysiłku fizycznego o 10% wolniej.\nWstrzymuj oddech na 108 sek. Ryzyko dyzenterii spada o 2%. Premie przedmiotów jednorazowych trwają o 20% dłużej.",Você consegue se safar comendo um monte de coisas que mataria muita gente. Reduz em 10% a perda de comida e de água por exaustão física.\nPrende a respiração por 108 segundos. Reduz em 2% a chance de disenteria. Os bônus de consumíveis duram 20% mais tempo.,"Что вам угощение, другим людям — смерть. Уменьшает потери пищи и воды при физических нагрузках на 10%.\nВы умеете задерживать дыхание на 108 секунд. Вероятность дизентерии снижена на 2%. Эффекты от потребляемых веществ длятся на 20% дольше.",Çoğu insanı öldürecek yiyecekler sana dokunmuyor. Fiziksel efor sırasında gıda ve su kaybını %10 azalt.\nNefesini 108 saniye boyunca tut. Dizanteri ihtimali %2 azalır. Tüketim öğelerinin sağladığı güçlendirmeler %20 daha uzun sürer.,大多数会要别人命的东西都对你没有效果。强体力活动时食物与水分流失减少 10%。\n能憋气 108 秒。患痢疾的几率降低 2%。消耗品的增益效果延长 20%。,慶幸會讓大多數人喪命的東西對你都沒效。減少 10% 因體力勞動而流失的食物和水。\n屏息可達 108 秒。減少 2% 患痢疾的機率。從消耗品中獲得增益的持續時間延長 20%。
